,age,balance,duration,y
684,42,0,65,no
685,54,510,196,no
686,40,242,221,no
687,53,244,197,no
688,49,92,221,no
689,40,0,64,no
690,29,948,75,no
691,36,23,400,no
692,37,710,378,no
693,39,1205,118,no
694,36,368,1597,yes
695,44,1631,346,no
696,40,6,60,no
697,49,26,276,no
698,30,-48,152,no
699,57,2142,251,no
700,24,77,390,no
701,46,401,306,no
702,33,21,189,no
703,43,0,125,no
704,43,-497,234,no
705,40,369,79,no
706,44,78,13,no
707,35,226,283,no
708,47,503,109,no
709,33,372,132,no
710,31,0,144,no
711,40,0,121,no
712,36,125,95,no
713,56,4,31,no
714,40,419,112,no
715,41,322,87,no
716,53,303,593,no
717,39,607,99,no
718,44,579,198,no
719,38,3047,285,no
720,54,83,190,no
721,58,68,172,no
722,52,58,213,no
723,28,251,178,no
724,36,688,174,no
725,60,364,631,no
726,42,55,176,no
727,42,101,32,no
728,44,105,1529,no
729,51,325,254,no
730,49,198,200,no
731,47,209,135,no
732,37,183,112,no
733,34,105,314,no
734,35,109,597,no
735,35,376,207,no
736,40,-7,410,no
737,55,0,160,no
738,55,143,42,no
739,35,550,55,no
740,57,162,155,no
741,53,115,336,no
742,41,512,233,no
743,57,807,211,no
744,45,248,88,no
745,43,1211,208,no
746,56,7,305,no
747,31,281,206,no
748,37,88,128,no
749,30,32,122,no
750,30,115,66,no
751,54,254,66,no
752,36,144,164,no
753,55,383,343,no
754,37,569,126,no
755,38,0,59,no
756,48,3754,249,no
757,55,6920,406,no
758,59,307,250,no
759,37,-421,183,no
760,33,60,190,no
761,44,67,220,no
762,57,402,153,no
763,30,800,95,no
764,42,239,191,no
765,51,421,216,no
766,44,161,89,no
767,46,289,51,no
768,29,110,169,no
769,39,245,148,no
770,42,0,132,no
771,50,156,117,no
772,42,0,275,no
773,39,20,124,no
774,55,92,118,no
775,46,89,479,no
776,42,166,285,no
777,45,103,35,no
778,43,-454,322,no
779,42,445,202,no
780,30,4,172,no
781,47,1001,201,no
782,51,-69,216,no
783,38,42,195,no
784,57,1617,96,no
785,42,221,720,no
786,32,210,188,no
787,46,0,70,no
788,29,185,141,no
789,59,836,106,no
790,32,301,395,no
791,44,503,629,no
792,40,407,502,no
793,31,53,446,no
794,46,2303,241,no
795,43,144,131,no
796,34,205,312,no
797,39,305,275,no
798,30,251,120,no
799,56,0,333,no
800,29,8,113,no
801,40,139,91,no
802,36,184,128,no
803,37,238,200,no
804,35,0,326,no
805,35,0,292,no
806,47,222,68,no
807,31,414,215,no
808,56,223,97,no
809,57,197,32,no
810,36,-251,162,no
811,45,-139,152,no
812,47,733,268,no
813,29,0,104,no
814,57,1,852,no
815,45,97,923,no
816,31,435,159,no
817,31,0,953,no
818,37,147,416,no
819,30,3,174,no
820,58,1109,180,no
821,33,404,139,no
822,39,981,294,no
823,33,95,102,no
824,34,302,124,no
825,36,-290,128,no
826,37,259,130,no
827,35,527,143,no
828,55,102,74,no
829,34,872,105,no
830,40,490,477,no
831,42,19,158,no
832,37,16,250,no
833,42,386,168,no
834,35,539,520,no
835,44,-329,171,no
836,30,-174,113,no
837,45,68,254,no
838,35,-532,149,no
839,36,0,133,no
840,49,64,293,no
841,31,1415,485,no
842,31,147,374,no
843,39,72,425,no
844,37,-196,207,no
845,33,716,83,no
846,37,0,228,no
847,42,-246,149,no
848,56,-203,139,no
849,37,245,732,yes
850,36,342,142,no
851,29,3,359,no
852,54,-248,112,no
853,38,376,1521,no
854,43,370,216,no
855,47,594,161,no
856,47,387,122,no
857,38,208,800,no
858,40,563,615,no
859,33,392,254,no
860,33,165,111,no
861,53,236,354,no
862,37,52,359,no
863,40,1265,97,no
864,37,693,327,no
865,35,118,236,no
866,49,3659,160,no
867,26,24,180,no
868,38,673,184,no
869,52,273,227,no
870,33,327,109,no
871,31,299,492,no
872,32,0,298,no
873,35,109,83,no
874,55,552,241,no
875,32,473,204,no
876,37,414,131,no
877,45,154,1138,yes
878,31,344,123,no
879,38,8,125,no
880,37,78,295,no
881,38,266,287,no
882,33,98,109,no
883,38,83,140,no
884,37,45,204,no
885,29,8,233,no
886,42,263,254,no
887,40,306,184,no
888,32,233,193,no
889,47,447,126,no
890,29,872,230,no
891,53,-291,591,yes
892,31,309,294,no
893,59,202,173,no
894,29,56,336,no
895,59,229,19,no
896,44,143,153,no
897,38,100,786,yes
898,49,326,99,no
899,43,167,243,no
900,52,545,260,no
901,40,2100,164,no
902,32,0,255,no
903,47,192,47,no
904,33,442,463,no
905,35,267,192,no
906,27,0,388,no
907,50,377,221,no
908,44,7624,126,no
909,43,66,175,no
910,51,37,256,no
911,32,64,202,no
912,47,34,104,no
913,34,627,283,no
914,57,1013,448,no
915,43,140,127,no
916,40,8823,378,no
917,28,97,67,no
918,38,5,221,no
919,37,74,150,no
920,44,58544,144,no
921,41,169,296,no
922,37,444,401,no
923,30,542,435,no
924,32,-205,388,no
925,30,112,245,no
926,35,39,143,no
927,55,1268,223,no
928,52,-98,423,no
929,33,44,231,no
930,55,-90,634,no
931,33,0,107,no
932,40,-94,227,no
933,39,-345,69,no
934,54,-932,799,no
935,39,20,109,no
936,49,90,127,no
937,52,31,120,no
938,27,134,68,no
939,26,0,180,no
940,40,61,112,no
941,47,-5,444,no
942,31,-45,246,no
943,53,156,259,no
944,31,564,223,no
945,33,-6,566,no
946,35,528,274,no
947,46,1481,49,no
948,31,2019,380,no
949,35,1855,138,no
950,29,147,376,no
951,51,220,421,no
952,33,198,121,no
953,37,115,36,no
954,43,87,328,no
955,42,644,19,no
956,28,225,866,no
957,57,502,229,no
958,38,-32,154,no
959,39,106,56,no
960,36,301,1581,no
961,57,906,117,no
962,44,187,185,no
963,48,852,202,no
964,46,143,279,no
965,43,71,180,no
966,49,1496,218,no
967,29,703,129,no
968,53,732,530,no
969,30,21,104,no
970,41,276,60,no
971,33,0,432,no
972,47,550,113,no
973,58,268,516,no
974,31,-825,179,no
975,38,137,125,no
976,60,42,386,no
977,33,54,262,no
978,33,1716,396,no
979,52,270,294,no
980,42,803,171,no
981,30,102,614,no
982,33,188,118,no
983,46,207,485,no
984,51,1466,406,no
985,40,350,287,no
986,50,159,216,no
987,42,157,650,no
988,38,0,55,no
989,36,91,371,no
990,37,849,166,no
991,33,436,48,no
992,38,-1,72,no
993,52,297,55,no
994,29,313,144,no
995,37,310,474,no
996,34,475,559,no
997,43,61,261,no
998,49,1377,1101,no
999,33,56,236,no
1000,47,0,164,no
1001,50,73,93,no
1002,30,660,912,no
1003,44,-79,179,no
1004,44,558,485,no
1005,30,342,206,no
1006,40,-4,311,no
1007,41,225,690,no
1008,34,267,362,no
1009,53,46,274,no
1010,35,624,163,no
1011,34,1107,345,no
1012,39,573,329,no
1013,39,406,68,no
1014,52,220,143,no
1015,34,2308,1062,no
1016,37,139,71,no
1017,39,367,106,no
1018,52,278,688,no
1019,35,229,103,no
1020,36,1722,349,no
1021,48,-500,78,no
1022,31,308,194,no
1023,43,1026,224,no
1024,43,548,98,no
1025,39,356,607,no
1026,40,164,398,no
1027,58,211,103,no
1028,31,19,241,no
1029,41,108,203,no
1030,37,308,96,no
1031,44,7,238,no
1032,37,16,153,no
1033,39,867,481,no
1034,41,277,2177,no
1035,52,196,119,no
1036,29,365,245,no
1037,60,1310,152,no
1038,32,186,418,no
1039,50,148,198,no
1040,56,862,198,no
1041,48,359,374,no
1042,29,190,51,no
1043,40,4,263,no
1044,42,0,229,no
1045,34,42,154,no
1046,23,2605,278,no
1047,30,60,306,no
1048,51,98,114,no
1049,52,-181,94,no
1050,45,118,208,no
1051,41,-15,169,no
1052,27,671,332,no
1053,50,1557,263,no
1054,36,-20,353,no
1055,46,323,108,no
1056,44,-171,441,no
1057,47,438,46,no
1058,40,316,266,no
1059,36,174,223,no
1060,46,442,105,no
1061,58,786,165,no
1062,30,-317,381,no
1063,43,667,228,no
1064,29,-158,128,no
1065,41,72,764,no
1066,44,58,113,no
1067,44,396,396,no
1068,59,10,133,no
1069,39,2887,42,no
1070,42,0,234,no
1071,31,89,297,no
1072,29,50,50,no
1073,39,29,214,no
1074,44,420,110,no
1075,49,114,99,no
1076,39,365,274,no
1077,27,0,191,no
1078,56,-24,305,no
1079,43,743,134,no
1080,37,0,112,no
1081,54,99,283,no
1082,38,22,353,no
1083,31,251,212,no
1084,34,615,225,no
1085,35,136,283,no
1086,44,2167,1273,no
1087,30,309,1574,yes
1088,51,221,139,no
1089,37,321,228,no
1090,39,-33,62,no
1091,33,76,256,no
1092,37,42,564,no
1093,46,76,245,no
1094,32,1293,161,no
1095,43,526,79,no
1096,59,873,152,no
1097,46,40,591,no
1098,47,117,113,no
1099,31,671,193,no
1100,30,145,299,no
1101,38,1807,348,no
1102,44,-212,103,no
1103,52,133,253,no
1104,29,566,127,no
1105,43,1924,244,no
1106,47,145,157,no
1107,43,487,548,no
1108,52,-57,114,no
1109,32,81,126,no
1110,40,-227,161,no
1111,57,2710,333,no
1112,30,98,155,no
1113,48,1230,152,no
1114,46,78,145,no
1115,59,137,66,no
1116,50,354,123,no
1117,50,149,74,no
1118,33,126,248,no
1119,39,0,130,no
1120,57,8266,71,no
1121,49,51,984,no
1122,41,258,252,no
1123,43,117,84,no
1124,29,199,1689,yes
1125,56,219,130,no
1126,46,1571,489,no
1127,42,223,41,no
1128,36,-79,159,no
1129,29,321,196,no
1130,43,2527,276,no
1131,48,5,697,no
1132,38,20,81,no
1133,46,1045,149,no
1134,44,1,281,no
1135,28,3,122,no
1136,28,-55,361,no
1137,36,141,319,no
1138,37,374,944,no
1139,56,93,282,no
1140,46,460,1102,yes
1141,34,78,35,no
1142,32,135,143,no
1143,33,367,22,no
1144,36,248,90,no
1145,35,630,17,no
1146,44,-30,404,no
1147,37,157,238,no
1148,48,268,71,no
1149,38,164,309,no
1150,44,-97,408,no
1151,31,53,128,no
1152,35,788,297,no
1153,54,1904,280,no
1154,28,260,374,no
1155,38,447,365,no
1156,48,720,177,no
1157,31,2827,238,no
1158,59,0,425,no
1159,29,1117,77,no
1160,28,597,223,no
1161,50,362,201,no
1162,31,120,239,no
1163,32,89,308,no
1164,30,442,137,no
1165,32,111,162,no
1166,29,247,134,no
1167,30,1,175,no
1168,34,6,125,no
1169,34,-947,211,no
1170,41,191,67,no
1171,36,-147,156,no
1172,31,703,943,yes
1173,39,70,813,yes
1174,36,83,178,no
1175,39,125,142,no
1176,37,190,194,no
1177,52,46,132,no
1178,25,1348,109,no
1179,42,420,94,no
1180,27,96,31,no
1181,42,271,84,no
1182,29,1320,489,no
1183,38,54,180,no
1184,42,198,314,no
1185,35,1094,207,no
1186,41,141,146,no
1187,57,207,193,no
1188,36,-206,177,no
1189,56,177,1040,no
1190,33,176,622,no
1191,41,-413,170,no
1192,33,-81,267,no
1193,35,3837,1084,yes
1194,43,870,528,no
1195,36,206,183,no
1196,37,316,238,no
1197,51,57,61,no
1198,28,1,923,no
1199,43,-7,70,no
1200,32,611,541,yes
1201,36,157,41,no
1202,33,233,221,no
1203,39,419,35,no
1204,28,134,262,no
1205,26,2087,151,no
1206,40,103,135,no
1207,44,281,604,no
1208,34,133,65,no
1209,47,1865,380,no
1210,55,325,693,no
1211,48,-18,11,no
1212,36,49,405,no
1213,31,7444,20,no
1214,30,59,202,no
1215,46,45,235,no
1216,30,387,75,no
1217,32,5,134,no
1218,48,71,101,no
1219,48,96,255,no
1220,36,72,80,no
1221,41,1715,462,no
1222,49,181,161,no
1223,26,20,200,no
1224,38,65,56,no
1225,27,81,238,no
1226,51,226,418,no
1227,33,1128,139,no
1228,53,582,96,no
1229,36,5611,39,no
1230,48,177,471,no
1231,27,181,231,no
1232,42,0,66,no
1233,61,734,204,no
1234,31,322,159,no
1235,37,134,200,no
1236,34,10350,187,no
1237,55,84,166,no
1238,24,620,144,no
1239,41,254,690,no
1240,34,0,323,no
1241,29,5903,194,no
1242,42,134,82,no
1243,45,1381,269,no
1244,49,104,285,no
1245,26,318,101,no
1246,35,2151,294,no
1247,49,-8,1119,yes
1248,44,185,249,no
1249,41,1773,106,no
1250,50,40,152,no
1251,58,44,12,no
1252,43,0,187,no
1253,34,0,214,no
1254,57,3058,268,no
1255,43,130,193,no
1256,38,507,95,no
1257,35,844,60,no
1258,49,458,381,no
1259,33,-744,206,no
1260,60,-2,75,no
1261,33,129,128,no
1262,33,411,216,no
1263,47,643,155,no
1264,37,391,103,no
1265,34,80,494,no
1266,32,10,107,no
1267,36,114,147,no
1268,40,1,190,no
1269,57,1341,339,no
1270,48,4,198,no
1271,26,2770,141,no
1272,30,5956,255,no
1273,41,55,1120,yes
1274,30,131,306,no
1275,35,1942,249,no
1276,36,298,215,no
1277,52,291,143,no
1278,45,85,162,no
1279,35,797,81,no
1280,46,152,33,no
1281,39,481,204,no
1282,38,66,124,no
1283,38,4586,784,no
1284,31,1798,393,no
1285,39,220,87,no
1286,32,715,108,no
1287,32,442,207,no
1288,26,85,278,no
1289,35,319,74,no
1290,26,-29,196,no
1291,33,303,149,no
1292,41,2398,287,no
1293,30,31,229,no
1294,36,1832,154,no
1295,46,2019,357,no
1296,30,3,147,no
1297,46,397,93,no
1298,38,1161,665,no
1299,24,777,131,no
1300,41,47,160,no
1301,28,-58,74,no
1302,55,1513,60,no
1303,40,121,82,no
1304,38,904,475,no
1305,40,697,111,no
1306,54,841,284,no
1307,49,7317,140,no
1308,44,-95,110,no
1309,32,751,64,no
1310,36,250,149,no
1311,35,365,256,no
1312,31,1315,156,no
1313,34,65,63,no
1314,36,1852,362,no
1315,44,-84,32,no
1316,44,36,712,no
1317,51,125,102,no
1318,36,0,338,no
1319,37,105,69,no
1320,31,432,446,no
1321,42,555,249,no
1322,55,-24,176,no
1323,57,2261,1007,no
1324,33,804,266,no
1325,44,-617,172,no
1326,30,-1,323,no
1327,37,237,175,no
1328,32,514,459,no
