age,balance,duration,y
57,792,65,no
42,408,107,no
51,531,267,no
57,211,248,no
36,62,215,no
53,257,209,no
50,1234,205,no
54,313,83,no
55,89,106,no
44,129,189,no
43,0,105,no
56,353,106,no
54,851,108,no
55,96,311,no
37,398,214,no
33,193,132,no
46,-358,358,no
36,539,453,no
51,0,364,no
40,0,136,no
42,490,386,no
51,0,173,no
49,403,241,no
48,161,224,no
32,2558,148,no
31,98,196,no
55,115,111,no
40,436,231,no
47,831,316,no
57,206,216,no
41,290,240,no
48,1,669,no
42,57,425,no
30,-457,143,no
58,1387,174,no
45,24598,313,no
49,30,135,no
42,1022,146,no
53,56,152,no
51,-2,402,no
32,121,213,no
41,842,144,no
43,693,124,no
40,-333,183,no
50,1533,325,no
34,46,39,no
53,18,503,no
45,44,95,no
39,-100,680,no
44,510,421,no
55,685,174,no
46,187,113,no
45,66,808,no
34,560,198,no
36,0,195,no
59,27,347,no
31,12,208,no
44,34,404,no
33,1068,396,no
40,211,216,no
46,377,98,no
48,263,350,no
42,1263,114,no
27,8,88,no
48,126,379,no
59,230,190,no
46,841,158,no
38,308,102,no
43,1,306,no
38,86,218,no
23,157,54,no
34,22,344,no
38,46,195,no
37,1293,652,no
25,122,286,no
48,131,189,no
49,143,83,no
38,393,184,no
43,98,235,no
33,0,290,no
55,224,232,no
38,757,133,no
49,245,318,no
40,8486,260,no
43,350,437,no
38,20,402,no
58,1667,85,no
57,345,125,no
32,10,501,no
56,830,1201,yes
58,29,253,no
60,545,1030,yes
37,8730,149,no
46,477,114,no
27,4,243,no
43,1205,769,no
32,0,135,no
40,263,231,no
38,1,76,no
34,283,199,no
47,206,152,no
42,17,124,no
48,141,424,no
29,16,43,no
50,206,154,no
52,7,203,no
50,0,326,no
58,0,393,no
46,1927,241,no
38,284,483,no
46,1660,259,no
32,406,227,no
51,230,673,no
39,-25,576,no
48,182,180,no
36,1169,168,no
34,67,90,no
40,77,505,no
43,0,245,no
52,55,186,no
33,72,623,no
49,163,496,no
32,151,118,no
39,113,342,no
40,0,225,no
38,9,185,no
43,375,196,no
39,1142,276,no
54,2102,76,no
38,4325,87,no
40,217,195,no
55,131,744,no
42,1680,765,no
39,0,262,no
40,46,119,no
32,320,198,no
55,183,150,no
45,39,241,no
35,560,181,no
58,469,196,no
35,530,149,no
49,61,246,no
34,242,112,no
36,139,309,no
24,0,278,no
34,367,140,no
51,228,136,no
39,45248,1623,yes
50,-84,101,no
32,310,144,no
42,132,238,no
50,797,354,no
40,71,79,no
46,2,187,no
37,231,451,no
34,270,159,no
44,274,409,no
40,-109,170,no
37,1,608,yes
33,-60,243,no
35,89,145,no
58,-11,112,no
39,0,262,no
43,-509,124,no
39,408,53,no
36,58,134,no
57,1640,204,no
36,20,186,no
50,71,678,no
55,52,182,no
44,292,162,no
44,424,27,no
39,109,699,no
46,1044,43,no
39,983,97,no
34,869,1677,yes
40,668,283,no
50,964,323,no
31,301,82,no
37,140,310,no
39,1877,185,no
51,1127,47,no
41,871,145,no
41,767,204,no
43,0,187,no
30,209,30,no
54,0,472,no
43,110,448,no
59,-76,264,no
47,178,169,no
40,-66,288,no
32,0,176,no
29,1,215,no
36,0,337,no
55,5345,278,no
30,-209,188,no
39,0,174,no
39,42,226,no
50,41,190,no
44,-99,111,no
37,17,164,no
46,276,157,no
32,-170,46,no
37,230,374,no
29,9,349,no
41,946,325,no
45,1297,233,no
57,-331,531,no
48,44,153,no
60,15,80,no
26,712,232,no
58,5435,118,no
34,507,190,no
55,387,918,yes
41,0,238,no
50,1716,82,no
49,167,198,no
44,40,160,no
44,148,211,no
31,17,120,no
34,1011,136,no
46,1527,269,no
42,744,157,no
52,484,128,no
29,0,211,no
53,136,267,no
43,1335,371,no
38,517,288,no
46,459,221,no
48,549,427,no
30,83,310,no
44,213,158,no
31,203,604,no
42,518,198,no
40,3877,145,no
52,1236,247,no
45,756,179,no
48,157,73,no
45,-66,263,no
34,245,13,no
34,-144,79,no
46,71,416,no
49,505,162,no
50,249,129,no
34,0,150,no
40,11,43,no
36,639,191,no
59,124,26,no
45,82,250,no
36,107,146,no
56,473,416,no
42,372,121,no
30,46,114,no
30,34,289,no
47,935,225,no
33,-10,123,no
36,-106,130,no
39,471,161,no
56,778,149,no
39,170,268,no
42,315,259,no
52,3165,26,no
36,131,153,no
35,204,424,no
47,83,179,no
59,0,97,no
57,5431,383,no
38,1759,440,no
46,-125,23,no
34,0,195,no
28,5090,1297,yes
38,573,87,no
56,1602,427,no
41,-137,189,no
52,0,195,no
54,193,179,no
61,195,179,no
53,288,69,no
47,19,105,no
53,25,266,no
46,216,524,no
39,190,96,no
56,99,155,no
55,2298,162,no
44,17,352,no
37,0,76,no
35,0,154,no
55,840,310,no
37,358,390,no
30,0,369,no
37,-325,112,no
36,-15,341,no
38,581,79,no
41,4070,140,no
48,74,315,no
55,141,262,no
28,89,174,no
54,0,138,no
30,450,526,no
48,310,135,no
31,0,36,no
38,384,1906,no
37,395,219,no
37,-118,147,no
56,5,407,no
51,50,121,no
39,285,209,no
49,15,92,no
51,653,208,no
43,918,193,no
32,243,144,no
29,405,65,no
48,1328,339,no
55,255,285,no
53,3397,231,no
47,2106,168,no
39,2877,278,no
31,60,389,no
39,2226,158,no
40,2880,145,no
40,-5,78,no
48,147,142,no
33,7,87,no
40,109,147,no
59,-119,289,no
30,484,703,yes
31,1852,170,no
35,533,802,no
54,21,381,no
34,2434,218,no
32,90,57,no
56,4246,304,no
32,395,241,no
42,15,230,no
33,85,262,no
52,-184,392,no
52,660,201,no
52,-183,145,no
30,1144,252,no
44,1,235,no
35,69,235,no
55,220,328,no
33,332,116,no
37,240,246,no
42,0,293,no
43,0,37,no
38,898,132,no
37,123,530,no
31,252,175,no
41,65,524,no
41,-366,29,no
29,209,311,no
38,221,211,no
44,4,312,no
39,104,412,no
28,312,392,no
33,-349,191,no
41,4,284,no
40,-322,144,no
29,-150,328,no
38,1349,100,no
32,281,226,no
45,1259,507,no
33,101,392,no
34,848,684,no
41,89,333,no
41,140,311,no
35,148,128,no
40,200,322,no
60,46,202,no
47,201,92,no
46,530,739,no
31,0,273,no
49,1,260,no
29,43,268,no
31,-173,396,no
38,389,262,no
37,215,308,no
35,-131,467,no
31,783,320,no
41,0,160,no
46,80,245,no
40,105,189,no
29,182,477,no
49,82,310,no
42,0,65,no
54,510,196,no
40,242,221,no
53,244,197,no
49,92,221,no
40,0,64,no
29,948,75,no
36,23,400,no
37,710,378,no
39,1205,118,no
36,368,1597,yes
44,1631,346,no
40,6,60,no
49,26,276,no
30,-48,152,no
57,2142,251,no
24,77,390,no
46,401,306,no
33,21,189,no
43,0,125,no
43,-497,234,no
40,369,79,no
44,78,13,no
35,226,283,no
47,503,109,no
33,372,132,no
31,0,144,no
40,0,121,no
36,125,95,no
56,4,31,no
40,419,112,no
41,322,87,no
53,303,593,no
39,607,99,no
44,579,198,no
38,3047,285,no
54,83,190,no
58,68,172,no
52,58,213,no
28,251,178,no
36,688,174,no
60,364,631,no
42,55,176,no
42,101,32,no
44,105,1529,no
51,325,254,no
49,198,200,no
47,209,135,no
37,183,112,no
34,105,314,no
35,109,597,no
35,376,207,no
40,-7,410,no
55,0,160,no
55,143,42,no
35,550,55,no
57,162,155,no
53,115,336,no
41,512,233,no
57,807,211,no
45,248,88,no
43,1211,208,no
56,7,305,no
31,281,206,no
37,88,128,no
30,32,122,no
30,115,66,no
54,254,66,no
36,144,164,no
55,383,343,no
37,569,126,no
38,0,59,no
48,3754,249,no
55,6920,406,no
59,307,250,no
37,-421,183,no
33,60,190,no
44,67,220,no
57,402,153,no
30,800,95,no
42,239,191,no
51,421,216,no
44,161,89,no
46,289,51,no
29,110,169,no
39,245,148,no
42,0,132,no
50,156,117,no
42,0,275,no
39,20,124,no
55,92,118,no
46,89,479,no
42,166,285,no
45,103,35,no
43,-454,322,no
42,445,202,no
30,4,172,no
47,1001,201,no
51,-69,216,no
38,42,195,no
57,1617,96,no
42,221,720,no
32,210,188,no
46,0,70,no
29,185,141,no
59,836,106,no
32,301,395,no
44,503,629,no
40,407,502,no
31,53,446,no
46,2303,241,no
43,144,131,no
34,205,312,no
39,305,275,no
30,251,120,no
56,0,333,no
29,8,113,no
40,139,91,no
36,184,128,no
37,238,200,no
35,0,326,no
35,0,292,no
47,222,68,no
31,414,215,no
56,223,97,no
57,197,32,no
36,-251,162,no
45,-139,152,no
47,733,268,no
29,0,104,no
57,1,852,no
45,97,923,no
31,435,159,no
31,0,953,no
37,147,416,no
30,3,174,no
58,1109,180,no
33,404,139,no
39,981,294,no
33,95,102,no
34,302,124,no
36,-290,128,no
37,259,130,no
35,527,143,no
55,102,74,no
34,872,105,no
40,490,477,no
42,19,158,no
37,16,250,no
42,386,168,no
35,539,520,no
44,-329,171,no
30,-174,113,no
45,68,254,no
35,-532,149,no
36,0,133,no
49,64,293,no
31,1415,485,no
31,147,374,no
39,72,425,no
37,-196,207,no
33,716,83,no
37,0,228,no
42,-246,149,no
56,-203,139,no
37,245,732,yes
36,342,142,no
29,3,359,no
54,-248,112,no
38,376,1521,no
43,370,216,no
47,594,161,no
47,387,122,no
38,208,800,no
40,563,615,no
33,392,254,no
33,165,111,no
53,236,354,no
37,52,359,no
40,1265,97,no
37,693,327,no
35,118,236,no
49,3659,160,no
26,24,180,no
38,673,184,no
52,273,227,no
33,327,109,no
31,299,492,no
32,0,298,no
35,109,83,no
55,552,241,no
32,473,204,no
37,414,131,no
45,154,1138,yes
31,344,123,no
38,8,125,no
37,78,295,no
38,266,287,no
33,98,109,no
38,83,140,no
37,45,204,no
29,8,233,no
42,263,254,no
40,306,184,no
32,233,193,no
47,447,126,no
29,872,230,no
53,-291,591,yes
31,309,294,no
59,202,173,no
29,56,336,no
59,229,19,no
44,143,153,no
38,100,786,yes
49,326,99,no
43,167,243,no
52,545,260,no
40,2100,164,no
32,0,255,no
47,192,47,no
33,442,463,no
35,267,192,no
27,0,388,no
50,377,221,no
44,7624,126,no
43,66,175,no
51,37,256,no
32,64,202,no
47,34,104,no
34,627,283,no
57,1013,448,no
43,140,127,no
40,8823,378,no
28,97,67,no
38,5,221,no
37,74,150,no
44,58544,144,no
41,169,296,no
37,444,401,no
30,542,435,no
32,-205,388,no
30,112,245,no
35,39,143,no
55,1268,223,no
52,-98,423,no
33,44,231,no
55,-90,634,no
33,0,107,no
40,-94,227,no
39,-345,69,no
54,-932,799,no
39,20,109,no
49,90,127,no
52,31,120,no
27,134,68,no
26,0,180,no
40,61,112,no
47,-5,444,no
31,-45,246,no
53,156,259,no
31,564,223,no
33,-6,566,no
35,528,274,no
46,1481,49,no
31,2019,380,no
35,1855,138,no
29,147,376,no
51,220,421,no
33,198,121,no
37,115,36,no
43,87,328,no
42,644,19,no
28,225,866,no
57,502,229,no
38,-32,154,no
39,106,56,no
36,301,1581,no
57,906,117,no
44,187,185,no
48,852,202,no
46,143,279,no
43,71,180,no
49,1496,218,no
29,703,129,no
53,732,530,no
30,21,104,no
41,276,60,no
33,0,432,no
47,550,113,no
58,268,516,no
31,-825,179,no
38,137,125,no
60,42,386,no
33,54,262,no
33,1716,396,no
52,270,294,no
42,803,171,no
30,102,614,no
33,188,118,no
46,207,485,no
51,1466,406,no
40,350,287,no
50,159,216,no
42,157,650,no
38,0,55,no
36,91,371,no
37,849,166,no
33,436,48,no
38,-1,72,no
52,297,55,no
29,313,144,no
37,310,474,no
34,475,559,no
43,61,261,no
49,1377,1101,no
33,56,236,no
47,0,164,no
50,73,93,no
30,660,912,no
44,-79,179,no
44,558,485,no
30,342,206,no
40,-4,311,no
41,225,690,no
34,267,362,no
53,46,274,no
35,624,163,no
34,1107,345,no
39,573,329,no
39,406,68,no
52,220,143,no
34,2308,1062,no
37,139,71,no
39,367,106,no
52,278,688,no
35,229,103,no
36,1722,349,no
48,-500,78,no
31,308,194,no
43,1026,224,no
43,548,98,no
39,356,607,no
40,164,398,no
58,211,103,no
31,19,241,no
41,108,203,no
37,308,96,no
44,7,238,no
37,16,153,no
39,867,481,no
41,277,2177,no
52,196,119,no
29,365,245,no
60,1310,152,no
32,186,418,no
50,148,198,no
56,862,198,no
48,359,374,no
29,190,51,no
40,4,263,no
42,0,229,no
34,42,154,no
23,2605,278,no
30,60,306,no
51,98,114,no
52,-181,94,no
45,118,208,no
41,-15,169,no
27,671,332,no
50,1557,263,no
36,-20,353,no
46,323,108,no
44,-171,441,no
47,438,46,no
40,316,266,no
36,174,223,no
46,442,105,no
58,786,165,no
30,-317,381,no
43,667,228,no
29,-158,128,no
41,72,764,no
44,58,113,no
44,396,396,no
59,10,133,no
39,2887,42,no
42,0,234,no
31,89,297,no
29,50,50,no
39,29,214,no
44,420,110,no
49,114,99,no
39,365,274,no
27,0,191,no
56,-24,305,no
43,743,134,no
37,0,112,no
54,99,283,no
38,22,353,no
31,251,212,no
34,615,225,no
35,136,283,no
44,2167,1273,no
30,309,1574,yes
51,221,139,no
37,321,228,no
39,-33,62,no
33,76,256,no
37,42,564,no
46,76,245,no
32,1293,161,no
43,526,79,no
59,873,152,no
46,40,591,no
47,117,113,no
31,671,193,no
30,145,299,no
38,1807,348,no
44,-212,103,no
52,133,253,no
29,566,127,no
43,1924,244,no
47,145,157,no
43,487,548,no
52,-57,114,no
32,81,126,no
40,-227,161,no
57,2710,333,no
30,98,155,no
48,1230,152,no
46,78,145,no
59,137,66,no
50,354,123,no
50,149,74,no
33,126,248,no
39,0,130,no
57,8266,71,no
49,51,984,no
41,258,252,no
43,117,84,no
29,199,1689,yes
56,219,130,no
46,1571,489,no
42,223,41,no
36,-79,159,no
29,321,196,no
43,2527,276,no
48,5,697,no
38,20,81,no
46,1045,149,no
44,1,281,no
28,3,122,no
28,-55,361,no
36,141,319,no
37,374,944,no
56,93,282,no
46,460,1102,yes
34,78,35,no
32,135,143,no
33,367,22,no
36,248,90,no
35,630,17,no
44,-30,404,no
37,157,238,no
48,268,71,no
38,164,309,no
44,-97,408,no
31,53,128,no
35,788,297,no
54,1904,280,no
28,260,374,no
38,447,365,no
48,720,177,no
31,2827,238,no
59,0,425,no
29,1117,77,no
28,597,223,no
50,362,201,no
31,120,239,no
32,89,308,no
30,442,137,no
32,111,162,no
29,247,134,no
30,1,175,no
34,6,125,no
34,-947,211,no
41,191,67,no
36,-147,156,no
31,703,943,yes
39,70,813,yes
36,83,178,no
39,125,142,no
37,190,194,no
52,46,132,no
25,1348,109,no
42,420,94,no
27,96,31,no
42,271,84,no
29,1320,489,no
38,54,180,no
42,198,314,no
35,1094,207,no
41,141,146,no
57,207,193,no
36,-206,177,no
56,177,1040,no
33,176,622,no
41,-413,170,no
33,-81,267,no
35,3837,1084,yes
43,870,528,no
36,206,183,no
37,316,238,no
51,57,61,no
28,1,923,no
43,-7,70,no
32,611,541,yes
36,157,41,no
33,233,221,no
39,419,35,no
28,134,262,no
26,2087,151,no
40,103,135,no
44,281,604,no
34,133,65,no
47,1865,380,no
55,325,693,no
48,-18,11,no
36,49,405,no
31,7444,20,no
30,59,202,no
46,45,235,no
30,387,75,no
32,5,134,no
48,71,101,no
48,96,255,no
36,72,80,no
41,1715,462,no
49,181,161,no
26,20,200,no
38,65,56,no
27,81,238,no
51,226,418,no
33,1128,139,no
53,582,96,no
36,5611,39,no
48,177,471,no
27,181,231,no
42,0,66,no
61,734,204,no
31,322,159,no
37,134,200,no
34,10350,187,no
55,84,166,no
24,620,144,no
41,254,690,no
34,0,323,no
29,5903,194,no
42,134,82,no
45,1381,269,no
49,104,285,no
26,318,101,no
35,2151,294,no
49,-8,1119,yes
44,185,249,no
41,1773,106,no
50,40,152,no
58,44,12,no
43,0,187,no
34,0,214,no
57,3058,268,no
43,130,193,no
38,507,95,no
35,844,60,no
49,458,381,no
33,-744,206,no
60,-2,75,no
33,129,128,no
33,411,216,no
47,643,155,no
37,391,103,no
34,80,494,no
32,10,107,no
36,114,147,no
40,1,190,no
57,1341,339,no
48,4,198,no
26,2770,141,no
30,5956,255,no
41,55,1120,yes
30,131,306,no
35,1942,249,no
36,298,215,no
52,291,143,no
45,85,162,no
35,797,81,no
46,152,33,no
39,481,204,no
38,66,124,no
38,4586,784,no
31,1798,393,no
39,220,87,no
32,715,108,no
32,442,207,no
26,85,278,no
35,319,74,no
26,-29,196,no
33,303,149,no
41,2398,287,no
30,31,229,no
36,1832,154,no
46,2019,357,no
30,3,147,no
46,397,93,no
38,1161,665,no
24,777,131,no
41,47,160,no
28,-58,74,no
55,1513,60,no
40,121,82,no
38,904,475,no
40,697,111,no
54,841,284,no
49,7317,140,no
44,-95,110,no
32,751,64,no
36,250,149,no
35,365,256,no
31,1315,156,no
34,65,63,no
36,1852,362,no
44,-84,32,no
44,36,712,no
51,125,102,no
36,0,338,no
37,105,69,no
31,432,446,no
42,555,249,no
55,-24,176,no
57,2261,1007,no
33,804,266,no
44,-617,172,no
30,-1,323,no
37,237,175,no
32,514,459,no
33,1988,211,no
31,491,237,no
46,675,50,no
34,177,500,no
51,340,186,no
49,230,96,no
52,0,98,no
43,2331,364,no
35,0,477,no
27,217,319,no
43,186,178,no
49,168,513,yes
50,145,170,no
33,140,139,no
49,-22,70,no
50,389,110,no
42,323,280,no
28,6,667,no
41,225,63,no
34,142,159,no
58,5,177,no
46,174,108,no
46,-768,194,no
42,30,366,no
40,968,213,no
42,47,141,no
33,0,982,no
27,91,168,no
43,-77,468,no
28,486,180,no
34,341,195,no
37,50,352,no
41,205,91,no
39,762,288,no
37,31,72,no
41,-581,218,no
36,-45,289,no
51,0,384,no
28,120,130,no
31,335,226,no
33,-232,208,no
28,785,442,yes
31,28,101,no
43,2067,756,yes
48,448,189,no
26,37,108,no
34,301,205,no
38,668,238,no
51,115,136,no
49,275,14,no
60,414,395,no
32,3,161,no
36,496,269,no
28,150,491,no
34,163,44,no
40,1322,26,no
33,1713,22,no
37,242,161,no
40,-29,406,no
59,381,422,no
39,82,147,no
28,21,219,no
30,1801,807,no
40,640,347,no
28,113,534,no
39,1042,58,no
44,240,155,no
39,-244,152,no
30,70,461,no
35,-339,389,no
31,59,314,no
47,1222,28,no
26,-41,229,no
25,0,30,no
42,6,103,no
30,4,32,no
28,20,252,no
46,846,369,no
43,338,116,no
38,90,20,no
31,406,31,no
29,2,190,no
34,2211,149,no
40,87,210,no
30,178,234,no
44,185,63,no
38,-210,21,no
43,388,2087,yes
32,1,102,no
33,879,245,no
32,214,190,no
40,698,223,no
34,1601,650,no
30,717,42,no
53,255,206,no
39,375,66,no
46,587,173,no
32,644,477,no
60,0,77,no
40,-275,219,no
47,116,376,no
25,37,453,no
44,753,151,no
38,162,200,no
45,984,298,no
34,199,627,no
36,241,133,no
30,648,287,no
35,907,242,no
39,6322,184,no
46,125,119,no
36,90,403,no
22,54,626,no
26,-132,12,no
48,267,266,no
32,289,23,no
58,613,154,no
57,618,10,no
53,1786,66,no
29,607,240,no
34,586,224,no
32,459,202,no
55,298,144,no
50,134,263,no
43,34,543,no
44,1378,257,no
27,417,237,no
35,25,23,no
45,22,209,no
35,398,34,no
49,1164,72,no
34,487,442,no
46,1069,45,no
43,-192,1120,yes
42,0,186,no
55,332,318,no
37,121,617,no
31,68,226,no
57,-176,275,no
33,527,81,no
43,193,74,no
60,7601,285,no
51,751,261,no
38,495,297,no
37,670,78,no
41,363,183,no
42,376,15,no
41,292,352,no
33,0,345,no
32,184,230,no
30,80,185,no
43,1824,296,no
30,2850,181,no
37,48,133,no
34,76,335,no
32,336,139,no
42,0,7,no
35,433,163,no
34,103,956,no
50,1164,166,no
34,129,71,no
38,5873,191,no
28,0,459,no
55,82,292,no
38,362,100,no
31,186,257,no
57,1216,255,no
50,704,233,no
47,205,128,no
39,830,246,no
34,-315,56,no
41,64,210,no
59,-820,43,no
35,538,21,no
31,948,91,no
55,1288,67,no
36,70,219,no
41,393,110,no
44,365,169,no
40,879,248,no
32,491,223,no
38,0,92,no
27,0,93,no
33,229,205,no
37,22,160,no
40,570,105,no
33,56,112,no
40,118,383,no
27,106,207,no
42,1768,193,no
41,213,10,no
37,381,985,yes
38,1147,249,no
44,373,122,no
31,50,300,no
34,67,672,no
46,0,390,no
33,61,116,no
36,504,481,no
32,177,21,no
27,584,192,no
31,-732,6,no
41,572,8,no
35,105,369,no
50,0,393,no
33,832,246,no
48,2642,330,no
36,195,380,no
29,718,91,no
34,336,84,no
39,332,277,no
32,1,399,no
59,-138,89,no
50,749,297,no
37,14,176,no
33,177,75,no
52,557,111,no
43,126,170,no
53,359,238,no
37,496,137,no
50,72,141,no
53,175,49,no
47,430,89,no
48,574,341,no
35,69,461,no
42,106,515,no
43,0,123,no
40,23,179,no
36,42,102,no
39,429,272,no
32,88,17,no
44,3932,40,no
43,177,209,no
53,468,89,no
41,639,1187,no
53,2124,123,no
31,309,104,no
51,202,200,no
32,20,117,no
52,-17,37,no
41,-417,51,no
30,528,145,no
32,394,466,no
31,856,303,no
38,468,101,no
44,138,283,no
36,406,826,no
34,221,185,no
40,523,598,no
41,-52,120,no
56,397,185,no
39,-432,159,no
34,298,220,no
41,1080,192,no
39,-85,423,no
33,4012,337,no
52,123,306,no
26,498,99,no
54,23,27,no
30,-315,201,no
35,89,166,no
47,699,182,no
53,145,193,no
29,-138,271,no
36,491,103,no
35,820,287,no
43,1376,235,no
38,0,732,no
39,507,136,no
58,771,126,no
33,310,172,no
60,136,43,no
45,310,191,no
39,813,117,no
35,14,64,no
41,-97,260,no
40,332,149,no
33,5034,207,no
32,281,231,no
44,576,128,no
34,1891,162,no
29,473,180,no
49,216,144,no
31,-13,260,no
47,162,203,no
34,365,85,no
32,264,211,no
32,490,94,no
56,230,122,no
28,-9,175,no
35,317,292,no
52,458,132,no
35,19,130,no
32,536,208,no
42,117,105,no
51,368,205,no
47,-98,112,no
34,627,117,no
45,180,218,no
31,26,62,no
40,2171,97,no
53,-118,101,no
44,1059,286,no
49,186,241,no
47,1306,252,no
31,3007,283,no
45,-88,131,no
30,265,380,no
40,21,584,no
27,230,371,no
28,252,448,no
28,422,274,no
44,85,116,no
35,4286,357,no
29,0,215,no
33,60,131,no
32,687,61,no
35,40,617,yes
31,22,483,yes
36,-333,847,no
41,483,319,no
35,503,57,no
40,1245,306,no
42,117,147,no
34,33,244,no
41,-320,128,no
43,49,100,no
37,0,59,no
26,100,24,no
32,344,85,no
51,-286,70,no
38,57,21,no
51,370,167,no
49,470,659,no
31,0,327,no
33,767,296,no
30,1,307,no
33,0,120,no
41,121,390,no
37,190,83,no
33,120,250,no
32,2068,143,no
46,332,772,yes
34,-322,198,no
32,274,21,no
43,3,929,yes
28,6,254,no
46,288,166,no
52,146,93,no
34,286,134,no
27,114,375,no
32,190,352,no
37,111,217,no
29,246,45,no
40,108,93,no
47,187,165,no
34,457,266,no
25,131,237,no
30,1825,164,no
31,307,538,yes
35,-198,72,no
32,739,171,no
